epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.5441316366195679,1.9100522994995117,0.4944881498813629,0.808298647403717
0,2385,0.3063206970691681,3.374335765838623,,,,
1,4771,,,0.6434400677680969,1.4308234453201294,0.6124458909034729,0.8668676614761353
1,4771,0.5934939384460449,1.6817165613174438,,,,
2,7157,,,0.6761496067047119,1.2788301706314087,0.6497134566307068,0.8853200674057007
2,7157,0.6638280749320984,1.3533532619476318,,,,
3,9543,,,0.6882107853889465,1.2180362939834595,0.6636985540390015,0.8912851214408875
3,9543,0.6935220956802368,1.2172130346298218,,,,
4,11929,,,0.6930615305900574,1.2033742666244507,0.6690168380737305,0.8930877447128296
4,11929,0.706996738910675,1.1546727418899536,,,,
