epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.7705745697021484,0.8856415152549744,0.7558045983314514,0.9318278431892395
0,2385,0.6919171810150146,1.2492080926895142,,,,
1,4771,,,0.7844711542129517,0.8209484815597534,0.7708027958869934,0.9400216341018677
1,4771,0.8354219198226929,0.6008010506629944,,,,
2,7157,,,0.7974828481674194,0.8106761574745178,0.7853405475616455,0.9425452947616577
2,7157,0.9183856844902039,0.2850496768951416,,,,
3,9543,,,0.8145914673805237,0.7906853556632996,0.8014234304428101,0.9459211230278015
3,9543,0.9783043265342712,0.08555947244167328,,,,
4,11929,,,0.8253089189529419,0.75748610496521,0.8129251599311829,0.9488053321838379
4,11929,0.9965150356292725,0.023320302367210388,,,,
