epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.4520992338657379,2.2795257568359375,0.4241739809513092,0.7208875417709351
0,2385,0.2796923816204071,3.2097320556640625,,,,
1,4771,,,0.539543092250824,1.8581154346466064,0.5149730443954468,0.7968273758888245
1,4771,0.5103532671928406,1.9729416370391846,,,,
2,7157,,,0.6015863418579102,1.5715017318725586,0.5803589820861816,0.8427124619483948
2,7157,0.6323587894439697,1.421054482460022,,,,
3,9543,,,0.6516010761260986,1.417804479598999,0.6339361667633057,0.8657205700874329
3,9543,0.7562181949615479,0.9005659818649292,,,,
4,11929,,,0.6676280498504639,1.515049695968628,0.6501463651657104,0.8749958872795105
4,11929,0.8809618949890137,0.4263881742954254,,,,
