epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.7261643409729004,1.0501121282577515,0.7125329971313477,0.9131788611412048
0,2385,0.6555677056312561,1.3884077072143555,,,,
1,4771,,,0.7563501596450806,0.9395598769187927,0.7428566813468933,0.9265838265419006
1,4771,0.7935174703598022,0.7598584890365601,,,,
2,7157,,,0.7759168744087219,0.9021984338760376,0.7619743347167969,0.9336304664611816
2,7157,0.8772018551826477,0.422670841217041,,,,
3,9543,,,0.7943692207336426,0.9048364758491516,0.7811336517333984,0.9379240274429321
3,9543,0.9601066708564758,0.1363261342048645,,,,
4,11929,,,0.8102979063987732,0.8574379682540894,0.7975257039070129,0.9440857172012329
4,11929,0.9928991198539734,0.03287665545940399,,,,
