epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.1171380802989006,4.18190336227417,0.09086962789297104,0.31077316403388977
0,2385,0.07849624007940292,4.55619478225708,,,,
1,4771,,,0.17429779469966888,3.788625955581665,0.13751086592674255,0.40618136525154114
1,4771,0.15221050381660461,3.94814395904541,,,,
2,7157,,,0.24699288606643677,3.368063449859619,0.21097661554813385,0.4999508261680603
2,7157,0.21802471578121185,3.522766351699829,,,,
3,9543,,,0.30588966608047485,3.046664237976074,0.2765881419181824,0.5706138610839844
3,9543,0.28917768597602844,3.1084485054016113,,,,
4,11929,,,0.3420405685901642,2.858530282974243,0.3120882213115692,0.6107633113861084
4,11929,0.3549657166004181,2.7594590187072754,,,,
