path,label,split,md5,phash,predicted_label,num_models_agree,convnext_confidence
../foodsg-233_cleaned/Alcoholic Beverage/FZ096JNMCPQBKKX7WQYE7VI8.jpg,Alcoholic Beverage,all,958e85c34df0e20ea4f73af2d2e0057a,958e85c34df0e20ea4f73af2d2e0057a,Fruit juice,2,0.7278
../foodsg-233_cleaned/Alcoholic Beverage/N644613C6ZBOIJTSZ9P566O0.jpg,Alcoholic Beverage,all,ee688aecad3097d5667ee8b4524f8516,ee688aecad3097d5667ee8b4524f8516,passion fruit,2,0.6406
../foodsg-233_cleaned/Apple/D9KPE1YXLI6519O1M7HNGQRX.jpg,Apple,all,973e0972557a6fb296f34920ea2705fb,973e0972557a6fb296f34920ea2705fb,canned Fruit salad,2,0.7138
../foodsg-233_cleaned/Apple/EOJIM350OF626CJEA5DBWAXQ.jpg,Apple,all,973e0972557a6fb296f34920ea2705fb,973e0972557a6fb296f34920ea2705fb,pomegranate,2,0.9514
../foodsg-233_cleaned/Apple/H9O9YV298XQ5AM81B85KLO93.jpg,Apple,all,6be063f88501752ca5f202a8804a7c63,6be063f88501752ca5f202a8804a7c63,Fruit juice,2,0.6111
../foodsg-233_cleaned/Apple/UJ93WD21BFBJOLXEQUHO1L19.jpg,Apple,all,973e0972557a6fb296f34920ea2705fb,973e0972557a6fb296f34920ea2705fb,guava,2,0.6867
../foodsg-233_cleaned/Apple/XSYZKRXNY350F9F76R2XSPI4.jpg,Apple,all,973e0972557a6fb296f34920ea2705fb,973e0972557a6fb296f34920ea2705fb,banana,2,0.9979
../foodsg-233_cleaned/Apricot/158U3HW64VYUEYYL0ULYDAHL.jpg,Apricot,all,c1f2308d7a97a00c559675d658db0fc8,c1f2308d7a97a00c559675d658db0fc8,Sweets,2,0.9556
../foodsg-233_cleaned/Apricot/57JT2O26AI17U01RIUECLWMW.jpg,Apricot,all,98a6ac9d2668a3c3c48ee8fdc61d9f42,98a6ac9d2668a3c3c48ee8fdc61d9f42,preserved fruit snacks,2,0.9934
../foodsg-233_cleaned/Apricot/A0LRI740YQU830EZK5ULY64K.jpg,Apricot,all,c1f2308d7a97a00c559675d658db0fc8,c1f2308d7a97a00c559675d658db0fc8,orange,2,0.6475
