epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,4770,,,0.7655271887779236,0.9788346290588379,0.742778480052948,0.9314345717430115
0,4770,0.6249566078186035,1.8833956718444824,,,,
1,9541,,,0.7999082207679749,0.7803514003753662,0.7813640236854553,0.9471666216850281
1,9541,0.8020398616790771,0.8031336069107056,,,,
2,14312,,,0.812821626663208,0.7217896580696106,0.7978447079658508,0.9510995745658875
2,14312,0.8466169238090515,0.6062917709350586,,,,
3,19083,,,0.8183605670928955,0.6962712407112122,0.8042653799057007,0.9529022574424744
3,19083,0.877162516117096,0.4906003475189209,,,,
4,23854,,,0.8212447762489319,0.6868003010749817,0.808395266532898,0.953000545501709
4,23854,0.8949344158172607,0.42369553446769714,,,,
