epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.7047622203826904,1.1303714513778687,0.6798465847969055,0.9041329622268677
0,2385,0.5704291462898254,1.8154864311218262,,,,
1,4771,,,0.7382910847663879,0.9901143312454224,0.722016453742981,0.9192749857902527
1,4771,0.7484163641929626,0.9498664736747742,,,,
2,7157,,,0.7577267289161682,0.9302204847335815,0.741469144821167,0.9270427227020264
2,7157,0.8138310313224792,0.685684084892273,,,,
3,9543,,,0.7714922428131104,0.8965234160423279,0.7560843825340271,0.9301891326904297
3,9543,0.8651224374771118,0.4971350133419037,,,,
4,11929,,,0.7770640254020691,0.8866451978683472,0.7604254484176636,0.9327783584594727
4,11929,0.8972533345222473,0.38380441069602966,,,,
