epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.6878175139427185,1.1987508535385132,0.6657330989837646,0.8953819870948792
0,2385,0.6056453585624695,1.6010782718658447,,,,
1,4771,,,0.7170856595039368,1.0836752653121948,0.6983509063720703,0.910065233707428
1,4771,0.7557792663574219,0.9107364416122437,,,,
2,7157,,,0.7453050017356873,0.9931753873825073,0.725180447101593,0.9212415218353271
2,7157,0.8287664651870728,0.6119934916496277,,,,
3,9543,,,0.7697224020957947,0.9467233419418335,0.757089376449585,0.9298613667488098
3,9543,0.8992250561714172,0.3503752648830414,,,,
4,11929,,,0.7887974977493286,0.9082215428352356,0.7751396894454956,0.9357936382293701
4,11929,0.9503265619277954,0.18308255076408386,,,,
